level,ug_code,ug_title,code,title
bach,49.00.00,ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ,49.03.01,Физическая культура
bach,49.00.00,ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ,49.03.02,Физическая культура для лиц с отклонениями в состоянии здоровья (адаптивная физическая культура)
bach,49.00.00,ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ,49.03.03,Рекреация и спортивно-оздоровительный туризм
bach,49.00.00,ФИЗИЧЕСКАЯ КУЛЬТУРА И СПОРТ,49.03.04,Спорт
bach,50.00.00,ИСКУССТВОЗНАНИЕ,50.03.01,Искусства и гуманитарные науки
bach,50.00.00,ИСКУССТВОЗНАНИЕ,50.03.02,Изящные искусства
bach,50.00.00,ИСКУССТВОЗНАНИЕ,50.03.03,История искусств
bach,50.00.00,ИСКУССТВОЗНАНИЕ,50.03.04,Теория и история искусств
bach,51.00.00,КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ,51.03.01,Культурология
bach,51.00.00,КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ,51.03.02,Народная художественная культура
bach,51.00.00,КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ,51.03.03,Социально-культурная деятельность
bach,51.00.00,КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ,51.03.04,Музеология и охрана объектов культурного и природного наследия
bach,51.00.00,КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ,51.03.05,Режиссура театрализованных представлений и праздников
bach,51.00.00,КУЛЬТУРОВЕДЕНИЕ И СОЦИОКУЛЬТУРНЫЕ ПРОЕКТЫ,51.03.06,Библиотечно-информационная деятельность
bach,52.00.00,СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО,52.03.01,Хореографическое искусство
bach,52.00.00,СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО,52.03.02,Хореографическое исполнительство
bach,52.00.00,СЦЕНИЧЕСКИЕ ИСКУССТВА И ЛИТЕРАТУРНОЕ ТВОРЧЕСТВО,52.03.03,Цирковое искусство
